ASV_numbers,phylum,class,order,family,genus,species
ASV_3232,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
ASV_3233,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
ASV_3234,NA,NA,NA,NA,NA,NA
ASV_3235,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,NA
ASV_3236,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,NA
ASV_3237,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,NA
ASV_3238,NA,NA,NA,NA,NA,NA
ASV_3239,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_3240,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,NA
ASV_3241,Planctomycetota,NA,NA,NA,NA,NA
ASV_3242,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,NA
ASV_3243,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,NA
ASV_3244,NA,NA,NA,NA,NA,NA
ASV_3245,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
ASV_3246,NA,NA,NA,NA,NA,NA
ASV_3247,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,NA
ASV_3248,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,NA
ASV_3249,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,NA
ASV_3250,Firmicutes,Bacilli,Bacillales,NA,NA,NA
ASV_3251,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,NA
ASV_3252,NA,NA,NA,NA,NA,NA
ASV_3253,WPS-2,NA,NA,NA,NA,NA
ASV_3254,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
ASV_3255,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
ASV_3256,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,OLB12,NA
ASV_3257,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_3258,Acidobacteriota,Acidobacteriae,NA,NA,NA,NA
ASV_3259,NA,NA,NA,NA,NA,NA
ASV_3260,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
ASV_3261,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_3262,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,NA
ASV_3263,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,NA
ASV_3264,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,NA
ASV_3265,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,NA
ASV_3266,NA,NA,NA,NA,NA,NA
ASV_3267,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ASV_3268,NA,NA,NA,NA,NA,NA
ASV_3269,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
ASV_3270,NA,NA,NA,NA,NA,NA
ASV_3271,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
ASV_3272,Planctomycetota,Planctomycetes,NA,NA,NA,NA
ASV_3273,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,NA
ASV_3274,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
ASV_3275,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
ASV_3276,NA,NA,NA,NA,NA,NA
ASV_3277,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,NA
ASV_3278,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,NA
ASV_3279,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
ASV_3280,Proteobacteria,Gammaproteobacteria,WD260,NA,NA,NA
ASV_3281,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3282,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Aquisphaera,NA
ASV_3283,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,NA
ASV_3284,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,NA
ASV_3285,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_3286,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA
ASV_3287,Patescibacteria,Parcubacteria,Candidatus Nomurabacteria,NA,NA,NA
ASV_3288,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
ASV_3289,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
ASV_3290,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
ASV_3291,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,NA
ASV_3292,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,NA
ASV_3293,Firmicutes,Bacilli,Bacillales,NA,NA,NA
ASV_3294,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA,NA
ASV_3295,Planctomycetota,Planctomycetes,NA,NA,NA,NA
ASV_3296,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
ASV_3297,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_3298,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,NA
ASV_3299,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA
ASV_3300,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,NA
ASV_3301,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,NA
ASV_3302,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV_3303,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,NA
ASV_3304,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,NA
ASV_3305,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA,NA
ASV_3306,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,NA
ASV_3307,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,NA
ASV_3308,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
ASV_3309,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ASV_3310,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3311,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family_4,Acidibacter,NA
ASV_3312,NA,NA,NA,NA,NA,NA
ASV_3313,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,NA
ASV_3314,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,NA
ASV_3315,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,NA
ASV_3316,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,NA
ASV_3317,Firmicutes,Bacilli,Bacillales,NA,NA,NA
ASV_3318,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_3319,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_3320,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
ASV_3321,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,NA
ASV_3322,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA
ASV_3323,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA
ASV_3324,Chloroflexi,Dehalococcoidia,S085,NA,NA,NA
ASV_3325,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASV_3326,Proteobacteria,Alphaproteobacteria,Azospirillales,Inquilinaceae,Inquilinus,NA
ASV_3327,NA,NA,NA,NA,NA,NA
ASV_3328,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_3329,NA,NA,NA,NA,NA,NA
ASV_3330,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,NA
ASV_3331,NA,NA,NA,NA,NA,NA
ASV_3332,NA,NA,NA,NA,NA,NA
ASV_3333,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASV_3334,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,NA
ASV_3335,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_3336,NA,NA,NA,NA,NA,NA
ASV_3337,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,NA
ASV_3338,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,NA
ASV_3339,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ASV_3340,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_3341,NA,NA,NA,NA,NA,NA
ASV_3342,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,NA
ASV_3343,Crenarchaeota,Nitrososphaeria,Group 1.1c,NA,NA,NA
ASV_3344,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3345,NA,NA,NA,NA,NA,NA
ASV_3346,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_3347,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,NA
ASV_3348,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
ASV_3349,NA,NA,NA,NA,NA,NA
ASV_3350,NA,NA,NA,NA,NA,NA
ASV_3351,Proteobacteria,Gammaproteobacteria,CCD24,NA,NA,NA
ASV_3352,NA,NA,NA,NA,NA,NA
ASV_3353,NA,NA,NA,NA,NA,NA
ASV_3354,NA,NA,NA,NA,NA,NA
ASV_3355,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,NA
ASV_3356,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_3357,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
ASV_3358,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,NA
ASV_3359,NA,NA,NA,NA,NA,NA
ASV_3360,NA,NA,NA,NA,NA,NA
ASV_3361,Planctomycetota,Planctomycetes,NA,NA,NA,NA
ASV_3362,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,NA
ASV_3363,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3364,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_3365,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ASV_3366,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,NA
ASV_3367,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,NA
ASV_3368,NA,NA,NA,NA,NA,NA
ASV_3369,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,NA,NA
ASV_3370,NA,NA,NA,NA,NA,NA
ASV_3371,NA,NA,NA,NA,NA,NA
ASV_3372,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Acidipila,NA
ASV_3373,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis,NA
ASV_3374,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
ASV_3375,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV_3376,NA,NA,NA,NA,NA,NA
ASV_3377,Proteobacteria,Gammaproteobacteria,R7C24,NA,NA,NA
ASV_3378,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,NA
ASV_3379,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,NA
ASV_3380,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_3381,Actinobacteriota,NA,NA,NA,NA,NA
ASV_3382,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,NA
ASV_3383,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ASV_3384,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3385,RCP2-54,NA,NA,NA,NA,NA
ASV_3386,Planctomycetota,Planctomycetes,NA,NA,NA,NA
ASV_3387,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,NA
ASV_3388,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_3389,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
ASV_3390,NA,NA,NA,NA,NA,NA
ASV_3391,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_3392,NA,NA,NA,NA,NA,NA
ASV_3393,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,NA
ASV_3394,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
ASV_3395,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3396,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1959-1,NA
ASV_3397,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASV_3398,NA,NA,NA,NA,NA,NA
ASV_3399,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,NA
ASV_3400,NA,NA,NA,NA,NA,NA
ASV_3401,NA,NA,NA,NA,NA,NA
ASV_3402,NA,NA,NA,NA,NA,NA
ASV_3403,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_3404,NA,NA,NA,NA,NA,NA
ASV_3405,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA
ASV_3406,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3407,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaera,NA
ASV_3408,Planctomycetota,Phycisphaerae,Tepidisphaerales,CPla-3 termite group,NA,NA
ASV_3409,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_3410,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,NA,NA
ASV_3411,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_3412,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,NA
ASV_3413,NA,NA,NA,NA,NA,NA
ASV_3414,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,NA
ASV_3415,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,NA
ASV_3416,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
ASV_3417,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,NA
ASV_3418,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3419,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,NA
ASV_3420,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3421,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3422,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3423,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,NA
ASV_3424,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3425,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA
ASV_3426,NA,NA,NA,NA,NA,NA
ASV_3427,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,NA
ASV_3428,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,NA
ASV_3429,NA,NA,NA,NA,NA,NA
ASV_3430,Planctomycetota,Planctomycetes,NA,NA,NA,NA
ASV_3431,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,NA
ASV_3432,Proteobacteria,Gammaproteobacteria,JG36-TzT-191,NA,NA,NA
ASV_3433,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,NA
ASV_3434,Myxococcota,bacteriap25,NA,NA,NA,NA
ASV_3435,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_3436,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA
ASV_3437,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,NA
ASV_3438,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA
ASV_3439,Chloroflexi,KD4-96,NA,NA,NA,NA
ASV_3440,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ASV_3441,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,NA
ASV_3442,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
ASV_3443,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,NA
ASV_3444,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,NA
ASV_3445,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,NA
ASV_3446,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,NA
ASV_3447,NA,NA,NA,NA,NA,NA
ASV_3448,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,NA
ASV_3449,Proteobacteria,Gammaproteobacteria,CCD24,NA,NA,NA
ASV_3450,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_3451,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_3452,NA,NA,NA,NA,NA,NA
ASV_3453,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
ASV_3454,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_3455,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_3456,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,NA
ASV_3457,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,NA
ASV_3458,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASV_3459,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,NA
ASV_3460,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,NA
ASV_3461,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaera,NA
ASV_3462,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_3463,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
ASV_3464,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
ASV_3465,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
ASV_3466,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_3467,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
ASV_3468,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_3469,Chloroflexi,Anaerolineae,RBG-13-54-9,NA,NA,NA
ASV_3470,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,NA
ASV_3471,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA
ASV_3472,NA,NA,NA,NA,NA,NA
ASV_3473,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,NA
ASV_3474,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,NA
ASV_3475,Chloroflexi,TK10,NA,NA,NA,NA
ASV_3476,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,NA
ASV_3477,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_3478,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family_4,Acidibacter,NA
ASV_3479,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,NA
ASV_3480,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,NA
ASV_3481,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA
ASV_3482,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,NA,NA
ASV_3483,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,NA
ASV_3484,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,NA
ASV_3485,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA
ASV_3486,NA,NA,NA,NA,NA,NA
ASV_3487,Planctomycetota,Planctomycetes,NA,NA,NA,NA
ASV_3488,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,NA
ASV_3489,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,NA
ASV_3490,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_3491,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ASV_3492,NA,NA,NA,NA,NA,NA
ASV_3493,NA,NA,NA,NA,NA,NA
ASV_3494,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
ASV_3495,NA,NA,NA,NA,NA,NA
ASV_3496,Chloroflexi,Anaerolineae,RBG-13-54-9,NA,NA,NA
ASV_3497,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,NA
ASV_3498,Chloroflexi,Anaerolineae,RBG-13-54-9,NA,NA,NA
ASV_3499,NA,NA,NA,NA,NA,NA
ASV_3500,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_3501,Planctomycetota,Planctomycetes,NA,NA,NA,NA
ASV_3502,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA
ASV_3503,Firmicutes,Bacilli,Bacillales,NA,NA,NA
ASV_3504,NA,NA,NA,NA,NA,NA
ASV_3505,Chloroflexi,KD4-96,NA,NA,NA,NA
ASV_3506,Chloroflexi,KD4-96,NA,NA,NA,NA
ASV_3507,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ASV_3508,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA
ASV_3509,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,NA
ASV_3510,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,NA
ASV_3511,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,NA
ASV_3512,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaera,NA
ASV_3513,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_3514,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,NA
ASV_3515,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_3516,NA,NA,NA,NA,NA,NA
ASV_3517,NA,NA,NA,NA,NA,NA
ASV_3518,NA,NA,NA,NA,NA,NA
ASV_3519,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,NA
ASV_3520,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV_3521,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
ASV_3522,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_3523,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,NA
ASV_3524,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_3525,NA,NA,NA,NA,NA,NA
ASV_3526,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_3527,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
ASV_3528,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,NA,NA
ASV_3529,NA,NA,NA,NA,NA,NA
ASV_3530,NA,NA,NA,NA,NA,NA
ASV_3531,Methylomirabilota,Methylomirabilia,Rokubacteriales,WX65,NA,NA
ASV_3532,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_3533,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_3534,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
ASV_3535,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,NA
ASV_3536,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,NA
ASV_3537,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
